longitude,latitude,property_type,room_type,price,minimum_nights,availability_30,availability_60,number_of_reviews,review_scores_rating,neighbourhood,bedrooms,bathrooms
-122.43419,37.72681,Guest suite,Entire home/apt,$110.00,3,0,0,354,97,Mission Terrace,1,1
-122.41553,37.7529,Apartment,Entire home/apt,$575.00,3,0,0,13,97,Mission District,3,2
-122.44956,37.73773,House,Private room,$250.00,1,0,0,35,94,Sunnyside,3,1.5
-122.42932,37.74334,Guesthouse,Entire home/apt,$105.00,30,24,54,209,95,Noe Valley,1,1
-122.43815,37.76288,Condominium,Entire home/apt,$210.00,30,24,54,3,100,The Castro,2,2
-122.44252,37.76275,Condominium,Entire home/apt,$475.00,4,14,14,15,96,The Castro,3,2
-122.43614,37.73225,House,Entire home/apt,$300.00,3,2,5,66,98,Glen Park,2,2
-122.38833,37.75971,Apartment,Entire home/apt,$190.00,2,5,8,185,98,Dogpatch,1,1
-122.42378,37.73096,House,Private room,$45.00,30,0,0,18,82,Excelsior,1,1
-122.43919,37.76267,Apartment,Entire home/apt,$299.00,2,4,16,161,98,The Castro,1,1
-122.42464,37.7303,House,Private room,$30.00,30,24,54,12,96,Excelsior,1,1
-122.43602,37.75587,Apartment,Entire home/apt,$225.00,5,9,14,5,100,The Castro,1,1
-122.437,37.75131,House,Entire home/apt,$159.00,7,0,0,60,97,Noe Valley,1,1
-122.40679,37.79954,Apartment,Entire home/apt,$125.00,30,30,60,110,89,Telegraph Hill,1,1
-122.4364,37.79026,House,Entire home/apt,$325.00,7,0,0,42,97,Pacific Heights,3,2.5
-122.40798,37.80345,Condominium,Entire home/apt,$600.00,1,0,0,36,99,Telegraph Hill,2,1
-122.44667,37.76641,Apartment,Entire home/apt,$90.00,30,0,0,28,94,Haight-Ashbury,0,1
-122.43232,37.72606,House,Private room,$48.00,2,30,56,76,97,Excelsior,1,0.5
-122.42414,37.76065,Apartment,Entire home/apt,$365.00,4,0,6,120,97,Mission District,2,1
-122.43217,37.78633,Apartment,Entire home/apt,$139.00,30,29,30,34,94,Western Addition/NOPA,1,1
-122.39337,37.78278,Loft,Entire home/apt,$250.00,30,0,0,6,100,SoMa,1,1
-122.44615,37.76892,Apartment,Entire home/apt,$189.00,30,0,0,111,94,Haight-Ashbury,3,1
-122.40628,37.76592,House,Entire home/apt,$298.00,3,9,28,67,99,Potrero Hill,1,1
-122.44259,37.76295,Cottage,Private room,$99.00,3,3,14,182,98,The Castro,1,1
-122.44601,37.80432,Condominium,Private room,$165.00,60,0,21,127,98,Marina,1,1
-122.43051,37.78525,Apartment,Private room,$99.00,30,30,60,3,100,Western Addition/NOPA,1,1
-122.42939,37.76052,House,Entire home/apt,$595.00,4,0,0,19,100,The Castro,4,2
-122.44797,37.72836,House,Private room,$95.00,1,14,18,32,97,Sunnyside,1,1
-122.43611,37.76479,Apartment,Private room,$119.00,1,7,11,11,95,The Castro,1,1
-122.41955,37.74271,Condominium,Entire home/apt,$160.00,2,0,2,33,94,Bernal Heights,1,1
-122.44293,37.77307,Guest suite,Entire home/apt,$190.00,3,6,26,356,96,Western Addition/NOPA,1,1
-122.40963,37.75711,House,Private room,$83.00,30,16,46,40,96,Mission District,1,1
-122.44339,37.76174,Apartment,Private room,$125.00,2,16,40,375,97,The Castro,1,1
-122.42539,37.72965,House,Private room,$40.00,30,18,48,20,69,Excelsior,1,1
-122.42317,37.73019,House,Private room,$45.00,30,0,0,26,83,Excelsior,1,1
-122.4355,37.75813,Apartment,Entire home/apt,$115.00,2,0,0,212,90,The Castro,1,1
-122.42823,37.77093,Condominium,Private room,$90.00,4,9,25,13,100,Duboce Triangle,1,1
-122.43447,37.76079,Apartment,Entire home/apt,$270.00,30,0,0,175,96,The Castro,2,1
-122.43342,37.72636,Apartment,Private room,$85.00,30,0,0,0,NA,Excelsior,1,1
-122.43332,37.7586,Apartment,Private room,$95.00,2,0,0,94,96,The Castro,1,1.5
